,Unnamed: 0,Kline open time,Coin,Open price,Daily Open price pct_change,High price,Daily High price pct_change,Low price,Daily Low price pct_change,Close price,Daily Close price pct_change,relative_strength
0,0,2022-11-04,YFI/USDT,7922.0,,8499.0,,7895.0,,8390.0,,
1,1,2022-11-05,YFI/USDT,8390.0,0.059075990911386,8596.0,0.0114131074244028,8148.0,0.0320455984800507,8285.0,-0.0125148986889154,-1.7545348705369763
2,2,2022-11-06,YFI/USDT,8280.0,-0.0131108462455303,8310.0,-0.0332712889716146,7913.0,-0.0288414334806087,7942.0,-0.0414001207000603,2.239255666307563
3,3,2022-11-07,YFI/USDT,7942.0,-0.0408212560386473,8206.0,-0.0125150421179301,7825.0,-0.0111209402249462,7988.0,0.0057919919415765,-0.38506901222446455
4,4,2022-11-08,YFI/USDT,7983.0,0.0051624276001007,8044.0,-0.0197416524494272,6102.0,-0.2201916932907348,6710.0,-0.1599899849774662,1.6118081018489425
5,5,2022-11-09,YFI/USDT,6717.0,-0.1585869973694099,6717.0,-0.1649676777722526,5289.0,-0.1332350049164208,5479.0,-0.1834575260804769,1.296526063452346
6,6,2022-11-10,YFI/USDT,5483.0,-0.183712967098407,6910.0,0.028733065356558,5389.0,0.0189071658158441,6691.0,0.2212082496805987,2.098655177196951
7,7,2022-11-11,YFI/USDT,6707.0,0.2232354550428597,6707.0,-0.0293777134587553,6143.0,0.1399146409352385,6449.0,-0.0361679868480048,1.1992279438432691
8,8,2022-11-12,YFI/USDT,6450.0,-0.0383181750410019,6461.0,-0.0366780975100641,5714.0,-0.0698355852189483,5757.0,-0.1073034579004497,7.093301670730126
9,9,2022-11-13,YFI/USDT,5766.0,-0.106046511627907,5950.0,-0.0790899241603466,5583.0,-0.0229261463073153,5704.0,-0.0092061837762723,0.320957008359895
10,10,2022-11-14,YFI/USDT,5700.0,-0.0114464099895941,6297.0,0.0583193277310924,5367.0,-0.0386888769478774,6027.0,0.0566269284712481,3.1929465415428466
